<CdSiteHydro>,<LbSiteHydro>,<Annee>,<TypeCampObservations>,<DtRealObservation>,<LbRsObservationDpt>,<RsObservationDpt>,<LbRsObservationNat>,<RsObservationNat>,<NomEntiteHydrographique>,<CdTronconHydrographique>,<LbCommune>,<CdCommune>,<CdDepartement>,<LbRegion>,<NomCircAdminBassin>,<CoordXSiteHydro>,<CoordYSiteHydro>,<ProjCoordSiteHydro>,FLG
J8300001,Le Ninian,2014,usuelle,2014-08-25,Ecoulement visible,1,Ecoulement visible,1,le Ninian,J83-0300,LAURENAN,22122,22,BRETAGNE,LOIRE-BRETAGNE,288393.7625,6801157.1303125,26,FLG
J2514011,Le Dourduff,2014,complémentaire,2014-07-30,Ecoulement visible,1,Ecoulement visible,1,le Dourduff,J2514000,PLOUEGAT-GUERAND,29182,29,BRETAGNE,LOIRE-BRETAGNE,208428.515625,6853605.883125,26,FLG
J2605411,le jarlot,2014,complémentaire,2014-07-30,Ecoulement visible,1,Ecoulement visible,1,"",J26-0300,PLOUGONVEN,29191,29,BRETAGNE,LOIRE-BRETAGNE,202104.368125,6840931.55,26,FLG
J2614011,Ruisseau de Coat Losquet,2014,complémentaire,2014-07-30,Ecoulement visible,1,Ecoulement visible,1,"",J2615000,PLOUNEOUR-MENEZ,29202,29,BRETAGNE,LOIRE-BRETAGNE,193742.73,6840149.0375,26,FLG
J2710001,le coat toulzac'h,2014,complémentaire,2014-07-30,Ecoulement visible,1,Ecoulement visible,1,le Coat Toulzac'h,J2714000,PLOUNEOUR-MENEZ,29202,29,BRETAGNE,LOIRE-BRETAGNE,192290.8025,6839312.425,26,FLG
J3014332,Ru de Santec,2014,complémentaire,2014-07-30,Ecoulement visible,1,Ecoulement visible,1,"",J3017000,SANTEC,29273,29,BRETAGNE,LOIRE-BRETAGNE,183631.53125,6868008.6775,26,FLG
J3014331,HORN,2014,complémentaire,2014-07-30,Ecoulement visible,1,Ecoulement visible,1,"",J3014700,GUICLAN,29068,29,BRETAGNE,LOIRE-BRETAGNE,183086.48033884,6849876.54071921,26,FLG
J3024011,Le GUILLEC,2014,complémentaire,2014-07-30,Ecoulement visible,1,Ecoulement visible,1,"",J3024050,PLOUGAR,29187,29,BRETAGNE,LOIRE-BRETAGNE,173378.268396296,6852813.51207546,26,FLG
J3030002,Ruisseau de la Palud,2014,complémentaire,2014-07-30,Ecoulement visible,1,Ecoulement visible,1,"",J3034900,CLEDER,29030,29,BRETAGNE,LOIRE-BRETAGNE,174547.633733836,6866791.03485046,26,FLG
J3030001,Ruisseau de port neuf,2014,complémentaire,2014-07-30,Ecoulement visible,1,Ecoulement visible,1,"",J3034100,CLEDER,29030,29,BRETAGNE,LOIRE-BRETAGNE,178351.521858836,6866152.78047545,26,FLG
